Payment Time,Order Time,Download time,Download by,Order status,Type of Order,paidStatus,Platform,Store Name,Member Name,Order No.,Platform Order ID,Amount,Payment Amount,COD amount,Preferential Amount,Cost Price,Profit,Product qty,Logistics Vendor,Warehouse,Logistics Costs,Recipient name,Recipient mobile number,Region,Recipient Address,Tag Name,Notes,Printing time
8/7/2024 18:25,8/7/2024 18:25,8/7/2024 18:25,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4518,TXN004518,29760,0,19760,10000,0,15760,1,****,Warehouse A,4000,****,****,,****,,,8/8/2024 13:02
8/7/2024 18:28,8/7/2024 18:27,8/7/2024 18:28,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4531,TXN004531,659000,659000,0,0,0,547000,3,****,Warehouse A,112000,****,****,,****,,,8/8/2024 12:11
8/7/2024 18:28,8/7/2024 18:16,8/7/2024 18:29,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4532,TXN004532,231000,90100,0,140900,0,90100,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:06
8/7/2024 18:28,8/7/2024 18:28,8/7/2024 18:29,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4533,TXN004533,422150,0,245700,176450,0,220700,1,****,Warehouse A,25000,****,****,,****,,,8/8/2024 12:02
8/7/2024 18:30,8/7/2024 18:30,8/7/2024 18:31,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4535,TXN004535,370000,0,196760,173240,0,172760,1,****,Warehouse A,24000,****,****,,****,,,8/8/2024 15:29
8/7/2024 18:32,8/7/2024 18:32,8/7/2024 18:32,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4537,TXN004537,235000,0,215000,20000,0,91000,3,****,Warehouse A,124000,****,****,,****,,,8/8/2024 12:14
8/7/2024 18:33,8/7/2024 18:30,8/7/2024 18:34,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4544,TXN004544,389880,220220,0,169660,0,220220,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:59
8/7/2024 18:37,8/7/2024 18:37,8/7/2024 18:38,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4550,TXN004550,226442,0,123292,103150,0,123292,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:19
8/7/2024 18:39,8/7/2024 18:38,8/7/2024 18:39,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4552,TXN004552,221000,106355,0,114645,0,106355,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:02
8/7/2024 18:41,8/7/2024 18:40,8/7/2024 18:42,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4558,TXN004558,146000,90745,0,55255,0,90745,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 15:30
8/7/2024 18:44,8/7/2024 18:44,8/7/2024 18:45,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4562,TXN004562,41000,28963,0,12037,0,13963,1,****,Warehouse A,15000,****,****,,****,,,8/8/2024 13:35
8/7/2024 18:45,8/7/2024 18:45,8/7/2024 18:45,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4563,TXN004563,404834,0,198473,206361,0,198473,2,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:03
8/7/2024 18:45,8/7/2024 18:45,8/7/2024 18:46,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4564,TXN004564,186000,0,64889,121111,0,64889,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:31
8/7/2024 18:49,8/7/2024 18:49,8/7/2024 18:50,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4572,TXN004572,40000,27903,0,12097,0,13903,1,****,Warehouse A,14000,****,****,,****,,,8/8/2024 13:35
8/7/2024 18:52,8/7/2024 18:51,8/7/2024 18:52,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4574,TXN004574,351000,145060,0,205940,0,145060,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:03
8/7/2024 18:57,8/7/2024 18:57,8/7/2024 18:57,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4581,TXN004581,223076,138926,0,84150,0,138926,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:03
8/7/2024 18:57,8/7/2024 18:57,8/7/2024 18:58,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4582,TXN004582,150238,85333,0,64905,0,85333,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 15:29
8/7/2024 18:59,8/7/2024 18:59,8/7/2024 18:59,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4585,TXN004585,210500,0,98741,111759,0,88241,1,****,Warehouse A,10500,****,****,,****,,,8/8/2024 12:35
8/7/2024 19:00,8/7/2024 18:58,8/7/2024 19:01,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4586,TXN004586,231000,91252,0,139748,0,91252,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 15:30
8/7/2024 19:04,8/7/2024 19:04,8/7/2024 19:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4588,TXN004588,515000,359700,0,155300,0,349700,1,****,Warehouse A,10000,****,****,,****,,,8/8/2024 11:52
8/7/2024 19:06,8/7/2024 19:06,8/7/2024 19:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4589,TXN004589,386000,219700,0,166300,0,219700,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:11
8/7/2024 19:05,8/7/2024 19:04,8/7/2024 19:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4590,TXN004590,700488,373988,0,326500,0,373988,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:11
8/7/2024 19:06,8/7/2024 19:06,8/7/2024 19:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4591,TXN004591,383648,0,180648,203000,0,180648,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:02
8/7/2024 19:07,8/7/2024 19:05,8/7/2024 19:08,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4592,TXN004592,200416,92785,0,107631,0,92785,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 15:30
8/7/2024 19:08,8/7/2024 19:08,8/7/2024 19:08,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4594,TXN004594,387700,0,172655,215045,0,171655,1,****,Warehouse A,1000,****,****,,****,,,8/8/2024 11:52
8/7/2024 19:08,8/7/2024 19:08,8/7/2024 19:09,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4595,TXN004595,503488,352238,0,151250,0,352238,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:10
8/7/2024 19:08,8/7/2024 19:08,8/7/2024 19:09,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4596,TXN004596,74000,0,49000,25000,0,24000,1,****,Warehouse A,25000,****,****,,****,,,8/8/2024 19:09
8/7/2024 19:10,8/7/2024 19:10,8/7/2024 19:11,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4601,TXN004601,237965,0,129124,108841,0,116125,1,****,Warehouse A,12999,****,****,,****,,,8/8/2024 18:03
8/7/2024 19:12,8/7/2024 19:12,8/7/2024 19:13,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4604,TXN004604,271000,0,169500,101500,0,169500,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 12:35
8/7/2024 19:14,8/7/2024 19:14,8/7/2024 19:14,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo4605,TXN004605,202960,0,76965,125995,0,76965,1,****,Warehouse A,0,****,****,,****,,,8/8/2024 11:42
